Match_id,Team,Over_num,Commentary,batsman,score
7898444,MI 1st Inns,17.3,"Dinda to Pollard, no run, was that a drop? Need another look. Wide yorker outside off, Pollard bends down to squeeze it out, the ball takes the under-edge and goes low to Dhoni's right. The former skipper goes with one hand and spills it. Tough one for Dhoni and Dinda's unlucky day continues, second drop off his bowling",Dinda to Pollard,NO RUN
7200146,GL 1st Inns,13.3,"Nehra to Dwayne Smith, no run, brilliant work from Henriques. A direct-hit would've been interesting. A fuller length delivery on the stumps, Smith pushes it meekly towards extra cover, Moises dives to his right and throws at the non-striker, all in one motion. DK was backing up for a single and had to turn back and dive full-length to make his ground",Nehra to Dwayne Smith,NO RUN
7200146,GL 1st Inns,17.0,"Bhuvneshwar to Karthik, no run, oh nearly.. A communication breakdown between both the batsmen almost resulted in a run-out. A short of length delivery outside off, Karthik slashed it straight to point, Kulkarni set off for a single, DK was ball-watching and sends him back. Yuvi, the fielder, was slow to react and fires a throw at the non-strikers end, misses the target and Kulkarni survives",Bhuvneshwar to Karthik,NO RUN
7200146,GL 1st Inns,5.0,"Rashid Khan to Raina, no run, edged and dropped, that was a chance and Warner at first slip has missed it. It was a tough opportunity though, Raina went with hard hands, the edge was flying and to the right of the captain, he went with hard hands and shells it. Coming to the ball, it was tossed up invitingly outside off, another wrong 'un from Rashid, lured Raina into the mistake - but Raina survives",Rashid Khan to Raina,NO RUN
7200146,SRH 1st Inns,13.3,"Nehra to Dwayne Smith, no run, brilliant work from Henriques. A direct-hit would've been interesting. A fuller length delivery on the stumps, Smith pushes it meekly towards extra cover, Moises dives to his right and throws at the non-striker, all in one motion. DK was backing up for a single and had to turn back and dive full-length to make his ground",Nehra to Dwayne Smith,NO RUN
7200146,SRH 1st Inns,17.0,"Bhuvneshwar to Karthik, no run, oh nearly.. A communication breakdown between both the batsmen almost resulted in a run-out. A short of length delivery outside off, Karthik slashed it straight to point, Kulkarni set off for a single, DK was ball-watching and sends him back. Yuvi, the fielder, was slow to react and fires a throw at the non-strikers end, misses the target and Kulkarni survives",Bhuvneshwar to Karthik,NO RUN
7200146,SRH 1st Inns,5.0,"Rashid Khan to Raina, no run, edged and dropped, that was a chance and Warner at first slip has missed it. It was a tough opportunity though, Raina went with hard hands, the edge was flying and to the right of the captain, he went with hard hands and shells it. Coming to the ball, it was tossed up invitingly outside off, another wrong 'un from Rashid, lured Raina into the mistake - but Raina survives",Rashid Khan to Raina,NO RUN
9873957,MI 1st Inns,13.4,"Kuldeep Yadav to Pollard, no run, uh oh! A bad mix-up there with Pollard being sent back from the middle of the pitch. But he makes it home. The throw isn't a great one from Pathan either. Rana called him initially but then backtracked as Pollard steered it to point. These are nervy times",Kuldeep Yadav to Pollard,NO RUN
2604889,RCB 1st Inns,3.2,"Sandeep Sharma to Vishnu Vinod, no run, yes-no and the last thing RCB want is for Vinod to run AB out. Thankfully no damage done. He defends this back of a length delivery towards cover-point and blindly sets off, AB rightly sends him back and Stoinis' throw wasn't accurate at the striker's end",Sandeep Sharma to Vishnu Vinod,NO RUN
2604889,RCB 1st Inns,7.2,"Mohit Sharma to Mandeep, no run, another yes-no and Mandeep escapes. A direct-hit would have seen him walk back. He wanted to drive this short of length delivery through cover, got an inside edge to Amla at mid-wicket, AB shouts and sends him back, the throw was wide of the stumps",Mohit Sharma to Mandeep,NO RUN
