Unnamed: 0,Match_id,Team,Over_num,Commentary,batsman,score,Commentary_new,Team_new,P2,P1,P1_FN,P1_LN,P2_FN,P2_LN,P1_FN_count,P1_LN_count,P2_FN_count,P2_LN_count
78,7898444,MI 1st Inns,17.3,"Dinda to Pollard, no run, was that a drop? Need another look. Wide yorker outside off, Pollard bends down to squeeze it out, the ball takes the under-edge and goes low to Dhoni's right. The former skipper goes with one hand and spills it. Tough one for Dhoni and Dinda's unlucky day continues, second drop off his bowling",Dinda to Pollard,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, was that a drop? Need another look. Wide yorker outside off, {{BATSMAN}} bends down to squeeze it out, the ball takes the under-edge and goes low to Dhoni's right. The former skipper goes with one hand and spills it. Tough one for Dhoni and {{BOWLER}}'s unlucky day continues, second drop off his bowling",MI,Dinda,Pollard,Pollard,,Dinda,,7,,5,
310,7200146,GL 1st Inns,13.3,"Nehra to Dwayne Smith, no run, brilliant work from Henriques. A direct-hit would've been interesting. A fuller length delivery on the stumps, Smith pushes it meekly towards extra cover, Moises dives to his right and throws at the non-striker, all in one motion. DK was backing up for a single and had to turn back and dive full-length to make his ground",Nehra to Dwayne Smith,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, brilliant work from Henriques. A direct-hit would've been interesting. A fuller length delivery on the stumps, {{BATSMAN}} pushes it meekly towards extra cover, Moises dives to his right and throws at the non-striker, all in one motion. DK was backing up for a single and had to turn back and dive full-length to make his ground",GL,Nehra,Dwayne Smith,Dwayne,Smith,Nehra,,6,5.0,5,
314,7200146,GL 1st Inns,17.0,"Bhuvneshwar to Karthik, no run, oh nearly.. A communication breakdown between both the batsmen almost resulted in a run-out. A short of length delivery outside off, Karthik slashed it straight to point, Kulkarni set off for a single, DK was ball-watching and sends him back. Yuvi, the fielder, was slow to react and fires a throw at the non-strikers end, misses the target and Kulkarni survives",Bhuvneshwar to Karthik,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, oh nearly.. A communication breakdown between both the batsmen almost resulted in a run-out. A short of length delivery outside off, {{BATSMAN}} slashed it straight to point, Kulkarni set off for a single, DK was ball-watching and sends him back. Yuvi, the fielder, was slow to react and fires a throw at the non-strikers end, misses the target and Kulkarni survives",GL,Bhuvneshwar,Karthik,Karthik,,Bhuvneshwar,,7,,11,
324,7200146,GL 1st Inns,5.0,"Rashid Khan to Raina, no run, edged and dropped, that was a chance and Warner at first slip has missed it. It was a tough opportunity though, Raina went with hard hands, the edge was flying and to the right of the captain, he went with hard hands and shells it. Coming to the ball, it was tossed up invitingly outside off, another wrong 'un from Rashid, lured Raina into the mistake - but Raina survives",Rashid Khan to Raina,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, edged and dropped, that was a chance and Warner at first slip has missed it. It was a tough opportunity though, {{BATSMAN}} went with hard hands, the edge was flying and to the right of the captain, he went with hard hands and shells it. Coming to the ball, it was tossed up invitingly outside off, another wrong 'un from {{BOWLER}}, lured {{BATSMAN}} into the mistake - but {{BATSMAN}} survives",GL,Rashid Khan,Raina,Raina,,Rashid,Khan,5,,6,4.0
335,7200146,SRH 1st Inns,13.3,"Nehra to Dwayne Smith, no run, brilliant work from Henriques. A direct-hit would've been interesting. A fuller length delivery on the stumps, Smith pushes it meekly towards extra cover, Moises dives to his right and throws at the non-striker, all in one motion. DK was backing up for a single and had to turn back and dive full-length to make his ground",Nehra to Dwayne Smith,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, brilliant work from Henriques. A direct-hit would've been interesting. A fuller length delivery on the stumps, {{BATSMAN}} pushes it meekly towards extra cover, Moises dives to his right and throws at the non-striker, all in one motion. DK was backing up for a single and had to turn back and dive full-length to make his ground",SRH,Nehra,Dwayne Smith,Dwayne,Smith,Nehra,,6,5.0,5,
339,7200146,SRH 1st Inns,17.0,"Bhuvneshwar to Karthik, no run, oh nearly.. A communication breakdown between both the batsmen almost resulted in a run-out. A short of length delivery outside off, Karthik slashed it straight to point, Kulkarni set off for a single, DK was ball-watching and sends him back. Yuvi, the fielder, was slow to react and fires a throw at the non-strikers end, misses the target and Kulkarni survives",Bhuvneshwar to Karthik,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, oh nearly.. A communication breakdown between both the batsmen almost resulted in a run-out. A short of length delivery outside off, {{BATSMAN}} slashed it straight to point, Kulkarni set off for a single, DK was ball-watching and sends him back. Yuvi, the fielder, was slow to react and fires a throw at the non-strikers end, misses the target and Kulkarni survives",SRH,Bhuvneshwar,Karthik,Karthik,,Bhuvneshwar,,7,,11,
349,7200146,SRH 1st Inns,5.0,"Rashid Khan to Raina, no run, edged and dropped, that was a chance and Warner at first slip has missed it. It was a tough opportunity though, Raina went with hard hands, the edge was flying and to the right of the captain, he went with hard hands and shells it. Coming to the ball, it was tossed up invitingly outside off, another wrong 'un from Rashid, lured Raina into the mistake - but Raina survives",Rashid Khan to Raina,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, edged and dropped, that was a chance and Warner at first slip has missed it. It was a tough opportunity though, {{BATSMAN}} went with hard hands, the edge was flying and to the right of the captain, he went with hard hands and shells it. Coming to the ball, it was tossed up invitingly outside off, another wrong 'un from {{BOWLER}}, lured {{BATSMAN}} into the mistake - but {{BATSMAN}} survives",SRH,Rashid Khan,Raina,Raina,,Rashid,Khan,5,,6,4.0
390,9873957,MI 1st Inns,13.4,"Kuldeep Yadav to Pollard, no run, uh oh! A bad mix-up there with Pollard being sent back from the middle of the pitch. But he makes it home. The throw isn't a great one from Pathan either. Rana called him initially but then backtracked as Pollard steered it to point. These are nervy times",Kuldeep Yadav to Pollard,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, uh oh! A bad mix-up there with {{BATSMAN}} being sent back from the middle of the pitch. But he makes it home. The throw isn't a great one from Pathan either. Rana called him initially but then backtracked as {{BATSMAN}} steered it to point. These are nervy times",MI,Kuldeep Yadav,Pollard,Pollard,,Kuldeep,Yadav,7,,7,5.0
457,2604889,RCB 1st Inns,3.2,"Sandeep Sharma to Vishnu Vinod, no run, yes-no and the last thing RCB want is for Vinod to run AB out. Thankfully no damage done. He defends this back of a length delivery towards cover-point and blindly sets off, AB rightly sends him back and Stoinis' throw wasn't accurate at the striker's end",Sandeep Sharma to Vishnu Vinod,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, yes-no and the last thing {{TEAM}} want is for {{BATSMAN}} to run AB out. Thankfully no damage done. He defends this back of a length delivery towards cover-point and blindly sets off, AB rightly sends him back and Stoinis' throw wasn't accurate at the striker's end",RCB,Sandeep Sharma,Vishnu Vinod,Vishnu,Vinod,Sandeep,Sharma,6,5.0,7,6.0
461,2604889,RCB 1st Inns,7.2,"Mohit Sharma to Mandeep, no run, another yes-no and Mandeep escapes. A direct-hit would have seen him walk back. He wanted to drive this short of length delivery through cover, got an inside edge to Amla at mid-wicket, AB shouts and sends him back, the throw was wide of the stumps",Mohit Sharma to Mandeep,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, another yes-no and {{BATSMAN}} escapes. A direct-hit would have seen him walk back. He wanted to drive this short of length delivery through cover, got an inside edge to Amla at mid-wicket, AB shouts and sends him back, the throw was wide of the stumps",RCB,Mohit Sharma,Mandeep,Mandeep,,Mohit,Sharma,7,,5,6.0
